provcd,province_name,region,prev_wave,wave,wave_pair,meat_shock,grain_shock,egg_shock,headline_cpi_next
21,Liaoning,Northeast,2018,2020,2018_2020,0.458702492584117,0.030933784602084,-0.207988578302308,0.0396164528766426
21,Liaoning,Northeast,2020,2022,2020_2022,-0.237966829468133,0.0428859161120701,0.01234756917759,
22,Jilin,Northeast,2010,2012,2010_2012,,0.00197498443775586,-0.0167815702927103,0.0532773088055075
22,Jilin,Northeast,2012,2014,2012_2014,,0.114446806514444,0.100096200511414,0.0344516259200721
22,Jilin,Northeast,2014,2016,2014_2016,0.100684779496455,0.0518992862822328,-0.0765139656099587,0.0355493463104916
22,Jilin,Northeast,2016,2018,2016_2018,-0.100822006376818,0.0259650345622959,-0.0602724019357296,0.0544331033931943
22,Jilin,Northeast,2018,2020,2018_2020,0.480826829540925,0.0189575621265652,-0.185706148513374,0.0374449568082121
22,Jilin,Northeast,2020,2022,2020_2022,-0.250166430105317,0.0466722259882623,0.0104433927254132,
23,Heilongjiang,Northeast,2010,2012,2010_2012,,0.00797805048233732,0.0329853488924935,0.0381390789225851
23,Heilongjiang,Northeast,2012,2014,2012_2014,,0.104477909642396,0.0746120270841872,0.0365840228292112
23,Heilongjiang,Northeast,2014,2016,2014_2016,0.117271051239643,0.0617966091803409,-0.0143337473574164,0.0275314096694965
23,Heilongjiang,Northeast,2016,2018,2016_2018,-0.139047989221498,0.0299301573734541,-0.0329857174663285,0.0453852644931832
23,Heilongjiang,Northeast,2018,2020,2018_2020,0.487100700183864,0.0448301889069819,-0.183104878934774,0.0386359444516379
23,Heilongjiang,Northeast,2020,2022,2020_2022,-0.246905994204922,0.0338247088857083,0.0374797266781969,
31,Shanghai,East,2010,2012,2010_2012,,-0.018460073395573,-0.0449900891454671,0.0498048013187955
31,Shanghai,East,2012,2014,2012_2014,,0.051080557735109,0.0501386632490147,0.0557327166823065
31,Shanghai,East,2014,2016,2014_2016,0.0585618365133187,0.0575319697477527,-0.00966771750515433,0.0276936964194596
31,Shanghai,East,2016,2018,2016_2018,0.00586818830783037,0.0227816834118176,0.0095087143799787,0.045632898310434
31,Shanghai,East,2018,2020,2018_2020,0.396152085746832,0.0204398543532191,-0.0300555617882365,0.042420946946295
31,Shanghai,East,2020,2022,2020_2022,-0.212096337018959,0.0207803378999449,0.0490361362378672,
32,Jiangsu,East,2010,2012,2010_2012,,-2.99800449378874e-06,-0.0323331740810239,0.0467621470800174
32,Jiangsu,East,2012,2014,2012_2014,,0.0717501508776587,0.109739246646648,0.0358156260755857
32,Jiangsu,East,2014,2016,2014_2016,0.0957611836248496,0.0528828145353057,-0.0507135359605409,0.0358095683825998
32,Jiangsu,East,2016,2018,2016_2018,-0.0542295063754329,0.0289386212951178,-0.0379292222469806,0.0545677574104586
32,Jiangsu,East,2018,2020,2018_2020,0.505226662045197,0.022893813829569,-0.178514856993025,0.0417497753215331
32,Jiangsu,East,2020,2022,2020_2022,-0.238405095469925,0.040810096136743,-0.00159484353936034,
33,Zhejiang,East,2010,2012,2010_2012,,0.00898851696731754,-0.0489824958210669,0.0515328109204361
33,Zhejiang,East,2012,2014,2012_2014,,0.0558121249158585,0.0975408527705906,0.0295762670935462
33,Zhejiang,East,2014,2016,2014_2016,0.096326526895244,0.0499041879725988,0.0460646840558456,0.04259260868795
33,Zhejiang,East,2016,2018,2016_2018,-0.0560684903921496,0.0229146569688263,-0.00792824839378899,0.0464131208635533
33,Zhejiang,East,2018,2020,2018_2020,0.488981131659109,0.0187586882936502,-0.0581840520032544,0.0466367827379989
33,Zhejiang,East,2020,2022,2020_2022,-0.283370295109432,0.0367758108138113,0.00201621954397199,
34,Anhui,East,2010,2012,2010_2012,,0.0169685952955738,-0.0305751690085865,0.0485976803074494
34,Anhui,East,2012,2014,2012_2014,,0.0837798951563752,0.137566988373111,0.0296067250702178
34,Anhui,East,2014,2016,2014_2016,0.116537456885714,0.0398492673422161,-0.0829513610784073,0.0255326662588329
34,Anhui,East,2016,2018,2016_2018,-0.139462642600839,0.0219480750381854,-0.0726521855853859,0.0542043499231327
34,Anhui,East,2018,2020,2018_2020,0.537248212490319,0.019878099500133,-0.233186109910534,0.0336388870882501
34,Anhui,East,2020,2022,2020_2022,-0.275147477879808,0.0408209310869796,-0.0179578879966513,
35,Fujian,East,2010,2012,2010_2012,,0.0129348217642675,-0.0350358218685161,0.0496917765936537
35,Fujian,East,2012,2014,2012_2014,,0.0618127362633841,0.118519067299055,0.0315984576475418
35,Fujian,East,2014,2016,2014_2016,0.0995561855839166,0.0239230815931065,-0.0962966601431029,0.0266713763140061
35,Fujian,East,2016,2018,2016_2018,-0.0933403569414836,0.020880761554268,-0.0411451774954113,0.0455945992218447
35,Fujian,East,2018,2020,2018_2020,0.504966397035474,0.00675875296239507,-0.204974419437593,0.0346981901018736
35,Fujian,East,2020,2022,2020_2022,-0.341051497215927,0.00863898130062196,-0.0177291807258403,
36,Jiangxi,East,2010,2012,2010_2012,,0.0109815514900876,-0.0524873344048156,0.04961596933323
36,Jiangxi,East,2012,2014,2012_2014,,0.0618514507113931,0.103042102406158,0.0406371950712398
36,Jiangxi,East,2014,2016,2014_2016,0.120033401275122,0.0568509588982688,0.0076636303151014,0.0357764356739962
36,Jiangxi,East,2016,2018,2016_2018,-0.107046370290164,0.0159250728348015,0.0137464688605685,0.0494402679272095
36,Jiangxi,East,2018,2020,2018_2020,0.541952655787553,0.0258892827606207,-0.105805105719827,0.0366992926088414
36,Jiangxi,East,2020,2022,2020_2022,-0.322541330289359,0.0417183378615356,-0.010055406680463,
37,Shandong,East,2010,2012,2010_2012,,-9.00001650004276e-06,-0.0251061837258668,0.0494950819966137
37,Shandong,East,2012,2014,2012_2014,,0.123405710413621,0.1111449283921,0.0285662185981948
37,Shandong,East,2014,2016,2014_2016,0.129784137072323,0.0308518438640761,-0.0560346846882356,0.038592352030353
37,Shandong,East,2016,2018,2016_2018,-0.0929556249470265,0.0328456563731182,-0.0253470771293912,0.0544029509564426
37,Shandong,East,2018,2020,2018_2020,0.570882589893129,0.031611323220608,-0.166040728516918,0.0376583203097163
37,Shandong,East,2020,2022,2020_2022,-0.300661151555611,0.0861468400393552,0.00633505450210628,
41,Henan,Central,2010,2012,2010_2012,,0.0109805494985581,-0.0405367421512448,0.0485081527605914
41,Henan,Central,2012,2014,2012_2014,,0.13146182560451,0.115829264214032,0.0295995745037827
41,Henan,Central,2014,2016,2014_2016,0.118802244676392,0.0578098068259274,-0.125978291768722,0.0316259481477119
41,Henan,Central,2016,2018,2016_2018,-0.144887478316211,0.0229385872767565,-0.0515437378589533,0.0513217218274672
41,Henan,Central,2018,2020,2018_2020,0.53132295005851,0.00495550546442776,-0.293909214804959,0.0356431241008163
41,Henan,Central,2020,2022,2020_2022,-0.295381565122888,0.0864667265173534,-0.0260789965157492,
42,Hubei,Central,2010,2012,2010_2012,,0.021955130886499,-0.0162207687983441,0.0485999637679252
42,Hubei,Central,2012,2014,2012_2014,,0.0907991893999164,0.122114503539433,0.0376360060253394
42,Hubei,Central,2014,2016,2014_2016,0.100796239263344,0.0359311534543408,-0.0148418437960298,0.0285374810649191
42,Hubei,Central,2016,2018,2016_2018,-0.0949703024500831,0.0319311401568515,-0.0117236602035534,0.0498961635559669
42,Hubei,Central,2018,2020,2018_2020,0.522408374979506,0.0219411268196772,-0.12997766024165,0.0367153502452323
42,Hubei,Central,2020,2022,2020_2022,-0.305334237139638,0.0339431329013754,-0.0457367052894118,
43,Hunan,Central,2010,2012,2010_2012,,0.0159451425798259,-0.0585284569979896,0.0426758039903518
43,Hunan,Central,2012,2014,2012_2014,,0.0966920709357037,0.0982648236981746,0.0327647530863534
43,Hunan,Central,2014,2016,2014_2016,0.0798803621526766,0.0359311812402362,-0.00901009567092904,0.0298173367494848
43,Hunan,Central,2016,2018,2016_2018,-0.146513103351357,0.0309147273621073,0.000258889766948472,0.0504612464582775
43,Hunan,Central,2018,2020,2018_2020,0.49975245113844,0.0229635634631135,-0.0483160087770968,0.0286921584343696
43,Hunan,Central,2020,2022,2020_2022,-0.378996719856015,0.0558843473452016,0.0204558341473665,
44,Guangdong,South,2010,2012,2010_2012,,0.0169348750263801,-0.0269725903734958,0.052642846734736
44,Guangdong,South,2012,2014,2012_2014,,0.0618387064359105,0.0975977279984422,0.036401481656741
44,Guangdong,South,2014,2016,2014_2016,0.0975752906271031,0.0429096716392337,0.00844951790194386,0.0305593215604356
44,Guangdong,South,2016,2018,2016_2018,-0.0408693784305347,0.0348379254174005,-0.00440919597853572,0.0581305625319234
44,Guangdong,South,2018,2020,2018_2020,0.534667220418966,0.0438225338640695,-0.0632409685433516,0.0416889665497345
44,Guangdong,South,2020,2022,2020_2022,-0.302442191648929,0.0425994097912476,0.0107543847438568,
45,Guangxi,South,2010,2012,2010_2012,,0.036721144116406,-0.0514049283893619,0.0417310252081629
45,Guangxi,South,2012,2014,2012_2014,,0.0736587959166101,0.0922436312737492,0.031755319768522
45,Guangxi,South,2014,2016,2014_2016,0.103267111682093,0.0439222376188775,0.000781854387897313,0.0337489530935328
45,Guangxi,South,2016,2018,2016_2018,-0.169403333004683,0.0329376563032697,-0.0151323867630487,0.061384543305862
45,Guangxi,South,2018,2020,2018_2020,0.568746459287403,0.0238642823065066,-0.0671600702480268,0.0387451807660321
45,Guangxi,South,2020,2022,2020_2022,-0.403170462979223,0.0278631059791398,0.0153041700177418,
46,Hainan,South,2010,2012,2010_2012,,0.00391703310532592,-0.0115757345432793,0.0437417019934466
46,Hainan,South,2012,2014,2012_2014,,0.0696341052932025,0.03674493599719,0.0402280849218465
46,Hainan,South,2014,2016,2014_2016,0.0662866422083158,0.0467244006890627,-0.00861911965273953,0.0533280498871802
46,Hainan,South,2016,2018,2016_2018,-0.0270592693043737,0.039851424718924,0.00585732690550149,0.0560668741772655
46,Hainan,South,2018,2020,2018_2020,0.51280598305158,0.0193779060349499,-0.0417445001617558,0.0275868959497917
46,Hainan,South,2020,2022,2020_2022,-0.258804716115359,0.00647991286851495,-0.0408570967666119,
50,Chongqing,West,2010,2012,2010_2012,,0.0298580816859932,-0.0278640246597045,0.0466474773005823
50,Chongqing,West,2012,2014,2012_2014,,0.069401419373438,0.0598148649319225,0.0316787647147382
50,Chongqing,West,2014,2016,2014_2016,0.109400592674262,0.0512172339419463,-0.113259938338896,0.0245921405271317
50,Chongqing,West,2016,2018,2016_2018,-0.162919841958528,-0.00999597232862437,0.046547645375819,0.0461527270877699
50,Chongqing,West,2018,2020,2018_2020,0.50353527150516,-0.0683233287185322,-0.14585927677732,0.0296717662468199
50,Chongqing,West,2020,2022,2020_2022,-0.352669570468156,0.000951455806679731,-0.0398888247482329,
51,Sichuan,West,2010,2012,2010_2012,,0.023948161397519,-0.0128269741035951,0.0466703133147612
51,Sichuan,West,2012,2014,2012_2014,,0.0778484562517524,0.103784735490951,0.0376627970326526
51,Sichuan,West,2014,2016,2014_2016,0.0997726285355666,0.0558892777386309,-0.0501625145356487,0.0276774109737586
51,Sichuan,West,2016,2018,2016_2018,-0.15656289673997,0.0209055878417468,-0.0185504795255222,0.0581586566186656
51,Sichuan,West,2018,2020,2018_2020,0.549314081639193,0.00591901544058339,-0.0901198965344437,0.0306691999425361
51,Sichuan,West,2020,2022,2020_2022,-0.389442870409267,0.0646248869743759,-0.0305893504726643,
52,Guizhou,West,2010,2012,2010_2012,,0.00896361635809806,-0.0813596692812701,0.0556237812715273
52,Guizhou,West,2012,2014,2012_2014,,0.0796700725010271,0.0416553638267965,0.0317798350184028
52,Guizhou,West,2014,2016,2014_2016,0.06118945372193,0.048884914123535,-0.0112209997232738,0.0227059401425235
52,Guizhou,West,2016,2018,2016_2018,-0.119350769609842,0.0358973977666994,-0.024032857800017,0.0433613577797292
52,Guizhou,West,2018,2020,2018_2020,0.420335024625062,-0.00207001925106621,-0.121119209569203,0.0287008269810909
52,Guizhou,West,2020,2022,2020_2022,-0.345010466112206,0.00884681160687302,-0.0744345194247369,
53,Yunnan,West,2010,2012,2010_2012,,0.0168734098482488,-0.0540518816484085,0.0567486726321963
53,Yunnan,West,2012,2014,2012_2014,,0.0696759039123747,0.084926619717584,0.0358914809496983
53,Yunnan,West,2014,2016,2014_2016,0.0701480368989101,0.0339401229625349,0.00485237562032891,0.017923094916713
53,Yunnan,West,2016,2018,2016_2018,-0.122568414538019,0.038944604697225,-0.00510188825532195,0.0515125589984373
53,Yunnan,West,2018,2020,2018_2020,0.457318995062043,0.0399121926317182,0.0159876424818932,0.031835455933577
53,Yunnan,West,2020,2022,2020_2022,-0.307421593193849,0.0338882900229982,0.0260123821529843,
54,Tibet,West,2010,2012,2010_2012,,-1.60140891632605e-05,-0.0351535708521496,0.0657365966953589
54,Tibet,West,2012,2014,2012_2014,,0.116509373770706,0.101062688480528,0.0548520455902648
54,Tibet,West,2014,2016,2014_2016,0.0497116021048838,0.115465150765252,0.0721043003532732,0.0319391203400756
54,Tibet,West,2016,2018,2016_2018,0.0380287680175251,0.0816214393064635,0.0330327419508446,0.0398553175238106
54,Tibet,West,2018,2020,2018_2020,0.206164938269858,0.0618019544798678,0.0121996663520508,0.0258891796295198
54,Tibet,West,2020,2022,2020_2022,-0.00330293095487758,0.0196442251634799,0.0999430390514769,
61,Shaanxi,West,2010,2012,2010_2012,,0.00697457798617276,0.0153631789615396,0.0494493392038567
61,Shaanxi,West,2012,2014,2012_2014,,0.118360809947322,0.147117903066955,0.0265296736350026
61,Shaanxi,West,2014,2016,2014_2016,0.0935741725549961,0.0537215542096175,-0.0600168325407105,0.0367752933600398
61,Shaanxi,West,2016,2018,2016_2018,-0.110227239042821,0.0217431188326088,-0.0301612880110201,0.0543948514954562
61,Shaanxi,West,2018,2020,2018_2020,0.48510512512575,0.0168927201739994,-0.27741795118501,0.0407493386192642
61,Shaanxi,West,2020,2022,2020_2022,-0.229011945780862,0.0993656263115623,0.00959859305748238,
62,Gansu,West,2010,2012,2010_2012,,0.00598301790766827,0.0341796616443397,0.0496167960387389
62,Gansu,West,2012,2014,2012_2014,,0.120524516176814,0.195953905089495,0.0317429442560365
62,Gansu,West,2014,2016,2014_2016,0.0708257085109553,0.0558982717223265,-0.0199493251577049,0.034844949195256
62,Gansu,West,2016,2018,2016_2018,-0.0538444898884762,0.0259311638499296,0.0235897700268831,0.0407381677145784
62,Gansu,West,2018,2020,2018_2020,0.403345962650592,0.0299362051083859,-0.187683692352122,0.0357876849209849
62,Gansu,West,2020,2022,2020_2022,-0.264264991872868,0.0876228744626176,0.0528647938139318,
63,Qinghai,West,2010,2012,2010_2012,,0.0198889470126138,0.0776064422238579,0.0674932893472728
63,Qinghai,West,2012,2014,2012_2014,,0.166125094941198,0.207656569553072,0.0445675064594961
63,Qinghai,West,2014,2016,2014_2016,0.0984757490476023,0.0795626472551976,-0.0602327484615799,0.0367838886921959
63,Qinghai,West,2016,2018,2016_2018,0.0922029218718017,0.0447471752409083,0.00287115506166236,0.0536781776262043
63,Qinghai,West,2018,2020,2018_2020,0.38405197956772,0.0327481407929226,-0.17885179943823,0.0387991710760725
63,Qinghai,West,2020,2022,2020_2022,-0.102003755237853,0.0594350890022325,0.0341521189116187,
64,Ningxia,West,2010,2012,2010_2012,,0.00199200664170872,0.0967398019475056,0.054563093139043
64,Ningxia,West,2012,2014,2012_2014,,0.0947049738394388,0.175235869147715,0.0274992795526331
64,Ningxia,West,2014,2016,2014_2016,0.0571838207448153,0.0349475894579432,-0.0780607235542242,0.0427501287377103
64,Ningxia,West,2016,2018,2016_2018,0.0615804756401478,0.0139780246137766,0.0707790471893391,0.0295606278599725
64,Ningxia,West,2018,2020,2018_2020,0.296293187837894,0.0249146257908478,-0.211317116576444,0.0537511478464754
64,Ningxia,West,2020,2022,2020_2022,-0.143585021621219,0.0775387124417226,0.0599514762695976,
65,Xinjiang,West,2010,2012,2010_2012,,0.0287705762713753,0.0717273607195458,0.067463845924962
65,Xinjiang,West,2012,2014,2012_2014,,0.136297893806685,0.204091073915569,0.0136601761467776
65,Xinjiang,West,2014,2016,2014_2016,0.0621403257247682,0.0419191832991651,-0.0338486213072674,0.0425760967325729
65,Xinjiang,West,2016,2018,2016_2018,0.113109351400099,0.00493447905409583,0.0793404087514596,0.0346809098723128
65,Xinjiang,West,2018,2020,2018_2020,0.300658353693483,0.0238961307860072,-0.210912948233204,0.0357737543210511
65,Xinjiang,West,2020,2022,2020_2022,-0.106405831745718,0.0249196356830456,-0.0534866633610353,
